,show_id,type,title,director,cast,country,date_added,release_year,duration,description,genre
2555,s4076,TV Show,Middleditch & Schwartz,Ryan Polito,"Thomas Middleditch, Ben Schwartz",United States,"April 21, 2020",2020,1,Comedy duo Thomas Middleditch and Ben Schwartz turn small ideas into epically funny stories in this series of completely improvised comedy specials.,TV Comedies
2578,s4122,TV Show,Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, André Gordon, Matthew Mercer, Christopher Corey Smith, Philece Sampler, Selah Victor, Marieve Herington, Ben Diskin, Kira Buckland, Erin Fitzgerald, Grant George, Ethan Murray, David Roach, Todd Haberkorn",France,"February 1, 2020",2019,5,"When Paris is in peril, Marinette becomes Ladybug. Little does she know, her school crush Adrien is actually Cat Noir, another city-saving superhero.",Kids
2666,s4259,TV Show,Mr. Sunshine,Lee Eung-bok,"Lee Byung-hun, Kim Tae-ri, Yoo Yeon-seok, Kim Min-jung, Byun Yo-han",South Korea,"July 8, 2018",2018,1,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,International TV
2745,s4379,TV Show,Myths & Monsters,Daniel Kontur,Nicholas Day,United Kingdom,"December 23, 2017",2017,1,This documentary series takes us to the mythic landscapes of Europe to explore some of most enduring legends produced by European culture.,British TV
2758,s4405,TV Show,Naruto,Hayato Date,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Kazuhiko Inoue, Toshihiko Seki, Hidekatsu Shibata, Masako Katsuki, Nana Mizuki",Japan,"September 1, 2019",2006,9,"Guided by the spirit demon within him, orphaned Naruto learns to harness his powers as a ninja in this anime adventure series.",Anime Series
2848,s4546,TV Show,Nowhere Man,DJ Chen,"Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long",Taiwan,"October 31, 2019",2019,1,"Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one.",Crime TV
2866,s4583,TV Show,Oggy and the Cockroaches,Olivier Jean-Marie,"Don Michael Paul, Tony Sampson, Sam Vincent, Matt Hill, Greg Eagles, Peter Kelamis, Tara Strong, Rick Jones",France,"December 1, 2017",2017,1,"Wimpy blue cat Oggy would like nothing more than to snooze, but he's constantly bothered by the three ugly cockroaches who have invaded his home.",Kids
2877,s4604,TV Show,Old Money,David Schalko,"Udo Kier, Sunnyi Melles, Nicholas Ofczarek, Manuel Rubey, Nora von Waldstätten, Thomas Stipsits, Ursula Strauss, Robert Palfrader, Simon Schwarz, Johannes Krisch, Lukas Miko",United States,"October 1, 2016",2015,1,"Backstabbing, blackmail and revenge consume the dysfunctional family of a wealthy patriarch as they compete to find him a new liver at all costs.",International TV
2878,s4605,TV Show,Oliver Stone's Untold History of the United States,Oliver Stone,Oliver Stone,United States,"November 15, 2016",2013,1,"This documentary series offers an alternative take on modern American history, focusing on underreported events that shaped the nation's character.",Docuseries
2886,s4617,TV Show,On the Real,Tosin Coker,"Ini Dima Okojie, Akah Nnani, Nancy Isime, Maurice Sam, David Jones David, Angel Funto Johnson, Pearl Okorie, Tomiwa Tegbe, Peanut Omatsola",Nigeria,"February 16, 2020",2017,1,A group of reality stars transitions into their newly achieved fame while dealing with the demands of an obnoxious TV executive and their regular lives.,International TV
2942,s4701,TV Show,Ouran High School Host Club,Takuya Igarashi,"Maaya Sakamoto, Monica Rial, Vic Mignogna, Luci Christian, Mamoru Miyano, Kenichi Suzumura, Mike McFarland, Caitlin Glass, Ayaka Saito, Daisuke Kirii",Japan,"April 1, 2017",2006,1,"New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school.",Anime Series
2956,s4725,TV Show,Paava Kadhaigal,"Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran","Kalidas Jayaram, Shanthnu Bhagyaraj, Bhavani Sre, Kalki Koechlin, Anjali, Padam Kumar, Prakash Raj, Sai Pallavi, Hari, Gautham Vasudev Menon, Simran",India,"December 18, 2020",2020,1,"At times dark, at times disturbing, four short films explore stories of those who dare to dream and desire — and those determined to stand in their way.",International TV
3000,s4798,TV Show,Patton Oswalt: I Love Everything,Marcus Raboy,"Patton Oswalt, Bob Rubin",United States,"May 19, 2020",2020,1,Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special.,Stand-Up
3022,s4833,TV Show,Persona,"Lee Kyoungmi, Yim Pilsung, Jeon Go-woon, Kim Jong-kwan","Lee Ji-eun (IU), Bae Doona, Park Hae Soo, Kim Tae-hun, Shim Dal-gi, Lee Sung-wook, Jung Jun Won",South Korea,"April 11, 2019",2019,1,An exploration of different personas in an eclectic collection of four works by critically acclaimed Korean directors.,International TV
3046,s4861,TV Show,Pine Gap,Mat King,"Parker Sawyers, Jacqueline McKenzie, Steve Toussaint, Tess Haubrich, Stephen Curry, Lewis Fitz-Gerald, Mark Leonard Winter",Australia,"December 7, 2018",2018,1,"At top-secret U.S.-Australian joint defense facility Pine Gap, fissures appear in the critical alliance as spies work with, and against, each other.",International TV
3056,s4877,TV Show,Planet Earth: The Complete Collection,Alastair Fothergill,David Attenborough,United Kingdom,"April 22, 2015",2006,1,This landmark series transports nature lovers from the Himalayan Mountains to the depths of the ocean and everywhere in between.,British TV
3207,s5163,TV Show,Reply 1994,Shin Won-ho,"Go Ara, Jung Woo, Sung Dong-il, Dohee, Son Ho-jun, Kim Sung-kyun, Cha Seon-wu, Yoo Yeon-seok, Lee Il-hwa",South Korea,"August 8, 2019",2014,1,"All hailing from various parts of Korea, a group of college students go from being complete strangers to a big happy family at a Seoul boarding house.",International TV
3208,s5164,TV Show,Reply 1997,Shin Won-ho,"Jung Eun-ji, Seo In-guk, Shin So-yul, Ji-won Eun, Lee Ho-won, Lee Si-eon, Sung Dong-il, Lee Il-hwa, Song Jong-ho",South Korea,"August 8, 2019",2012,1,"As a teen, Shi Won was obsessed with a boy band. Now 33 years old, Shi Won and her friends are reviving their memories as their school reunion nears.",International TV
3222,s5187,TV Show,Revolting Rhymes,"Jani Lachauer, Jakob Schuh","Rob Brydon, Bertie Carvel, Gemma Chan, Dominic West, Isaac Hempstead Wright, Bel Powley, Tamsin Greig, Rose Leslie, David Walliams",United Kingdom,"February 1, 2018",2017,1,Popular fairy tales take on a darkly comic edge in these short animated films based on a book by Roald Dahl and illustrator Quentin Blake.,British TV
3245,s5227,TV Show,Riverdale,Rob Seidenglanz,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse, Marisol Nichols, Madelaine Petsch, Ashleigh Murray, Mädchen Amick, Luke Perry, Casey Cott, Charles Melton, Mark Consuelos, Lochlyn Munro, Peter Bryant, Colin Lawrence, Molly Ringwald, Asha Bromfield, Barclay Hope, Hayley Law, Martin Cummins, Sarah Habel, Nathalie Boltt, Skeet Ulrich",United States,"May 14, 2020",2019,4,"While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery.",Crime TV
3292,s5292,TV Show,Royal Pains,Jay Chandrasekhar,"Mark Feuerstein, Paulo Costanzo, Reshma Shetty, Jill Flint, Campbell Scott, Brooke D'Orsay, Dieter Riesle",United States," May 18, 2017",2016,8,Dr. Hank Lawson unexpectedly gets a career upgrade as a freelance physician treating New York's aristocratic upper crust in their posh Hamptons homes.,TV Comedies
3319,s5332,TV Show,Sacred Games,"Vikramaditya Motwane, Anurag Kashyap","Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte, Neeraj Kabi, Jitendra Joshi",India,"August 15, 2019",2019,2,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",Crime TV
3323,s5338,TV Show,Sadqay Tumhare,Ehtesham Uddin,"Mahira Khan, Samiya Mumtaz, Adnan Malik, Rehan Sheikh, Sanya Shamshad, Qavi Khan",Pakistan,"December 15, 2016",2014,1,"An arranged engagement between a village girl and her city cousin shows signs of true love, but an indiscretion decades ago could doom their romance.",International TV
3391,s5436,TV Show,Schulz Saves America,Alexx Media,Andrew Schulz,United States,"December 17, 2020",2020,1,Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.,Stand-Up
3392,s5437,TV Show,Scissor Seven,He Xiaofeng,"He Xiaofeng, Jiang Guangtao, Duan Yixuan, Zhu Rongrong, Wen Sen, Jiang Huiqin, Ban Ma, Ronny Chieng, Shinji Saito, Daniel Sosa",China,"May 7, 2020",2020,2,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",International TV
3527,s5645,TV Show,Six Windows in the Desert,"Ali Kalthami, Meshal Aljaser, Faris Godus, Mohamed al Salman, Faisal al Amer","Moayad Alnefaie, Mohammed Alhamdan, Citi Bet Baydi, Sadeem Alshehri, Mohammed Albakri, Moayed Althagafi, Hussain Alyahya, Abeer Alotaibi, Zara Albalushi, Ali Alshehabi",Saudi Arabia,"February 27, 2020",2020,1,"From a theatre play to the aftermath of a plane crash, this collection of shorts from Saudi filmmakers depicts the nuances of Saudi Arabian culture.",TV Shows
3538,s5664,TV Show,Sleepless Society: Insomnia,"Pantham Thongsang, Cheewatan Pusitsuksa","Chutimon Chuengcharoensukying, Sutthirak Subvijitra, Nutthasit Kotimanuswanich, Sita Maharavidejakorn, Sutthatip Wutichaipradit, Warisara Yu, Chokchai Charoensuk, Supoj Pongpancharoen, Nikorn Sae Tang, Gandhi Wasuwitchayagit, Petchpatchara Kitkrairaj, Duangjai Hirunsri, Nilacha Fuangfukiet, Teeranai Na Nongk้hai, Sumontha Suanpolrat, Wimolphan Chaleejunghan, Damkerng Thitapiyasak, Natthawara Hongsuwan, Nunthapak Chalermpuwadej, Tachatorn Supanan",Thailand,"February 13, 2020",2019,1,"Haunted by recurring visions, a young woman with insomnia visits an old home to solve a mystery and put her nightmares to an end.",Crime TV
3539,s5666,TV Show,Sleepless Society: Two Pillows & A Lost Soul,Sivaroj Kongsakul,"Numthip Jongrachatawiboon, Vorarit Fuangarom, Bhumibhat Thavornsiri, Thanongsak Suphakan, Kanjanaporn Plodpai, Tosatid Darnkhuntod, Boonsong Nakphoo, Arachaporn Pokinpakorn, Annita Sarucha, Chidsanupong Sakulnuntipat, Nisawan Silpapearsue, Porntip Tipsiri, Thana Srisuke",Thailand,"May 15, 2020",2020,1,A motivational speaker about to divorce her abusive husband wakes up from a wild party one morning to find a dead body.,Crime TV
3569,s5706,TV Show,Someone Has to Die,Manolo Caro,"Carmen Maura, Cecilia Suárez, Ester Expósito, Ernesto Alterio, Alejandro Speitzer, Isaac Hernández, Carlos Cuevas, Mariola Fuentes, Pilar Castro, Juan Carlos Vellido, Eduardo Casanova, Manuel Morón, Javier Pereira",Mexico,"October 16, 2020",2020,1,"In conservative 1950s Spain, the alleged relationship between a young man and a Mexican ballerino creates an uproar of harrowing consequences.",Crime TV
3675,s5909,TV Show,Supergirl,Jesse Warn,"Melissa Benoist, Mehcad Brooks, Chyler Leigh, Jeremy Jordan, David Harewood, Calista Flockhart, Emma Tremblay, Adrian Pasdar, Katie McGrath, David St. Louis, Odette Annable, Floriana Lima, Erica Durance",United States,"May 25, 2020",2019,5,"To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City.",TV Action
3678,s5913,TV Show,Supernatural,Phil Sgriccia,"Jared Padalecki, Jensen Ackles, Mark Sheppard, Misha Collins, Jim Beaver, Andrea Menard, Samantha Smith, Mark Pellegrino, Alexander Calvert",United States,"June 5, 2020",2019,15,"Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters.",Classic
3709,s5962,TV Show,Take My Brother Away,Han Qing,"Sun Qian, Joseph Zeng, Lv Xiao Yu, Hu Yong Tao, Wang Xu Dong, Ma Bai Quan",China,"August 24, 2018",2018,1,"Bickering siblings Shi Miao and Shi Fen tackle friendship matters, school drama and the pitfalls of growing up with little parental supervision.",International TV
3756,s6037,TV Show,Th Eena Meena Deeka Chase Comedy Show,Dheeraj Berry,"Sanjay Keni, Priya Raina",India,"March 31, 2018",2015,1,"A hungry fox and three resourceful, surprisingly formidable birds turn the animal kingdom on its head in this lively animated series.",Kids
3779,s6078,TV Show,The American Bible Challenge,Michael Simon,Jeff Foxworthy,United States,"June 15, 2020",2013,2,"Join host Jeff Foxworthy as contestants test their knowledge of all things biblical, competing to win money for the charities of their choice.",Reality TV
3826,s6149,TV Show,The Blue Planet: A Natural History of the Oceans,Alastair Fothergill,David Attenborough,United Kingdom,"October 10, 2015",2001,1,"David Attenborough narrates this definitive exploration of the marine world, from the familiar to the unknown, revealing the sea and its communities.",British TV
3865,s6204,TV Show,The Cat in the Hat Knows a Lot About That!,Tony Collingwood,"Martin Short, Alexa Torrington, Jacob Ewaniuk, Robert Tinkler, Tracey Hoyt",Canada,"January 1, 2021",2014,1,"The Cat in the Hat is back – and this time, he's teaching Sally and her brother, Nick, some awfully nifty things to think about!",Kids
3871,s6216,TV Show,The Chosen One,Michel Tikhomiroff,"Paloma Bernardi, Renan Tenca, Gutto Szuster, Pedro Caetano, Mariano Mattos Martins, Alli Willow, Kiko Vianello, Francisco Gaspar, Tuna Dwek, Lourinelson Vladmir, Leonardo Ventura, Aury Porto, Glauber Amaral, Astrea Lucena",Brazil,"December 6, 2019",2019,2,"Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult.",International TV
3922,s6297,TV Show,The Devil Punisher,"Chang Chin-jung, Chen Rong-hui","Mike He, Ivy Shao, Anson Chen, Jane Chang, Roy Chang, Amanda Chou, Johnny Yang, Yin Chao-te, Tan Ai-Chen, Chen Bor-jeng, Dewi Chien",Taiwan,"October 26, 2020",2020,1,"A baker by day and demon fighter by night, a reincarnated deity must jog his amnesiac lover's memory of their millennium-long romance.",International TV
3938,s6323,TV Show,The Eddy,"Damien Chazelle, Houda Benyamina, Laïla Marrakchi, Alan Poul","André Holland, Joanna Kulig, Amandla Stenberg, Leïla Bekhti, Tahar Rahim, Benjamin Biolay, Adil Dehbi, Melissa George, Lada Obradovic, Tchéky Karyo, Randy Kerber, Elyes Aguis, Damian Nueva Cortes",United Kingdom,"May 8, 2020",2020,1,"The owner of a Paris jazz club gets tangled up with dangerous criminals as he fights to protect his business, his band and his teenage daughter.",International TV
3952,s6345,TV Show,The Fear,Michael Samuels,"Peter Mullan, Anastasia Hille, Harry Lloyd, Paul Nicholls, Demosthenes Chrysan, Dragos Bucur, Shaban Arifi, Julia Ragnarsson, Danny Sapani, Nigel Lindsay, Osy Ikhile, Sidney Kean, Lisa McAllister, Catherine Winter, Amarildo Kola, Julius Peter Wells",United Kingdom,"March 31, 2017",2012,1,"Richie Beckett is an aging Brighton crime boss who's struggling with the onset of dementia, just as a rival gang is trying to take over his territory.",British TV
3960,s6357,TV Show,The Five,Mark Tonderai,"Tom Cullen, O.T. Fagbenle, Lee Ingleby, Sarah Solemani, Hannah Arterton, Geraldine James, Michael Maloney, Rade Serbedzija, Jonathan Kerrigan, Don Warrington, Sophia La Porta",United Kingdom,"September 15, 2017",2016,1,"Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police.",British TV
3962,s6360,TV Show,The Flash,Glen Winter,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,"May 20, 2020",2019,6,A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.,Crime TV
3971,s6370,TV Show,The Forest of Love: Deep Cut,Sion Sono,"Kippei Shiina, Shinnosuke Mitsushima, Kyooko Hinami, Eri Kamataki, Young Dais, Natsuki Kawamura, Yuzuka Nakaya, Dai Hasegawa, Chiho Fujii, Sei Matobu, Denden",Japan,"April 30, 2020",2020,1,Nothing's as it seems when a charismatic conman and an aspiring film crew delve into the lives of two emotionally scarred women.,Crime TV
3983,s6391,TV Show,The Ghost Bride,Quek Shio-chuan,"Huang Peijia, Wu Kang-jen, Ludi Lin, Janet Hsieh, Kuang Tian, Susan Leong, Jordan Voon, Angeline Tan, Jojo Goh, Teresa Daley",Taiwan,"January 23, 2020",2020,1,"In 1890s Malacca, Li Lan finds herself in the afterlife and becomes mired in a mystery linked to the sinister, deceased son of a wealthy family.",International TV
3996,s6416,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,"September 25, 2020",2020,8,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",British TV
4020,s6454,TV Show,The Hockey Girls,"Kiko Cruz Claverol, Patricia Font","Iria del Río, Nora Navas, Josep Linuesa, Natàlia Barrientos, Dèlia Brufau, Yasmina Drissi Sales, Júlia Gibert, Mireia Oriol, Asia Ortega Leiva, Claudia Riera, Mireia Aixalà, Juli Fàbregas, Àgata Roca, Marc Clotet",Spain,"September 20, 2019",2019,1,"The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance.",International TV
4031,s6478,TV Show,The Idhun Chronicles,Maite Ruiz De Austri,"Michelle Jenner, Itzan Escamilla, Sergio Mur, Nico Romero, Carlos Cuevas",Spain,"January 8, 2021",2021,2,"A boy suddenly orphaned fights his parents' killer to save a planet, and discovers a new world of danger — and wonder.",Anime Series
4152,s6673,TV Show,The Minions of Midas,Mateo Gil,"Luis Tosar, Marta Belmonte, Guillermo Toledo, Carlos Blanco, Marta Milans, Goize Blanco, Elena Irureta, Bea Segura, Jorge Andreu, Daniel Holguín, Adolfo Fernández, Fernando Barona, Juan Blanco, Ahmed Boulane, Pepe Ocio, Vito Sanz, Adelfa Calvo, Joaquín Climent, Carmelo Gómez, Miguel Ángel Solá",Spain,"November 13, 2020",2020,1,A millionaire publisher gets a blackmail note — his decision can mean life or death. Inspired by a Jack London story but set in contemporary Madrid.,Crime TV
4153,s6676,TV Show,The Mire,Jan Holoubek,"Andrzej Seweryn, Dawid Ogrodnik, Zofia Wichłacz, Magdalena Walach, Piotr Fronczewski, Agnieszka Żulewska, Ireneusz Czop, Zbigniew Waleryś, Jacek Beler, Nel Kaczmarek",Poland,"March 25, 2020",2018,1,"In an early-'80s Polish town, a prostitute and a youth leader are found killed, but the police's handling of the case makes two journalists suspicious.",Crime TV
4318,s6940,TV Show,The Trial,Stefano Lodovichi,"Vittoria Puccini, Francesco Scianna, Camilla Filippi, Simone Colombari, Maurizio Lastrico, Alessandro Averone, Euridice Axen, Marco Baliani, Pia Lanciotti, Giordano De Plano, Roberto Herlitzka, Tommaso Ragno, Margherita Caviezel, Michele Morrone",Italy,"April 10, 2020",2019,1,"The murder of a teen girl impacts a public prosecutor linked to the victim, a lawyer seeking a career-making case and a suspect who says she's innocent.",Crime TV
4327,s6953,TV Show,The Twelve,Wouter Bouvijn,"Maaike Neuville, Charlotte De Bruyne, Tom Vermeir, Mieke De Groote, Johan Heldenbergh, Zouzou Ben Chikha, Peter Gorissen, Piet De Praitere, Maaike Cafmeyer, Josse De Pauw, Greet Verstraete, Koen De Sutter, Isabelle Van Hecke, Lynn Van Royen",Belgium,"July 10, 2020",2019,1,Twelve jurors — ordinary people with struggles of their own — must decide the case of a woman accused of killing her best friend and her own daughter.,Crime TV
4332,s6962,TV Show,The Underclass,Pass Patthanakumjon,"Nannaphas Loetnamchoetsakun, Praewa Suthamphong, Sumitra Duangkaew, Tanutchai Wijitvongtong, Tarisa Preechatangkit, Natticha Chantaravareelekha, Miori Ohkubo, Pakwan Noijaiboon, Napaphat Worraphuttanon, Vathusiri Phuwapunyasiri, Rinrada Inthaisong, Suchaya Saenkhot, Mananya Kaoju, Kandis Wanarun, Ekapol Deebunmee, Panta Pattanaampaiwong, Rachaya Tupkunanon, Supasawad Buranawech, Thitirat Rojsangrat, Sawanee Utoomma, Phattharanarin Mueanarit, Chanyapuk Numprasop",Thailand,"July 6, 2020",2020,1,"After getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity.",International TV
4340,s6980,TV Show,The Victims' Game,"David Chuang, Chen Kuan-chung","Joseph Chang, Hsu Wei-ning, Jason Wang, Ruby Lin, Moon Lee, River Huang, Chen Chia-kuei, Ding Ning, Hsia Ching-ting, Rexen Cheng",Taiwan,"April 30, 2020",2020,1,"After discovering his estranged daughter's link to mysterious murders, a forensic detective with Asperger's syndrome risks everything to solve the case.",Crime TV
4381,s7042,TV Show,They've Gotta Have Us,Simon Frederick,"Debbie Allen, Harry Belafonte, John Boyega, Diahann Carroll, Ernest R. Dickerson, Laurence Fishburne, Nelson George, Whoopi Goldberg, Cuba Gooding Jr., LilRel Howery, Barry Jenkins, Kasi Lemmons, David Oyelowo, Robert Townsend, Jesse Williams",United Kingdom,"February 5, 2020",2018,1,"Powered by candid recollections from esteemed African-American entertainers, this docuseries traces the history of black cinema.",British TV
4388,s7057,TV Show,Thomas and Friends,Greg Tiernan,"Michael Angelis, Ben Small, Keith Wickham, Kerry Shale",United Kingdom,"September 1, 2020",2020,2,"This animated children's series follows the adventures of Thomas, a cheerful blue tank engine who lives on the island of Sodor.",British TV
4410,s7089,TV Show,Til Death Do Us Part,"Cho Li, Chen Hung-yi, Weica Wang, Liu Bang-yao, Lin Guan-fu, Shen Chi, YC Tom Lee","Wen Chen-ling, River Huang, Lin He-xuan, Phoebe Lin, Janel Tsai, Dara Hanfman, Hsia Teng-hung, Nikki Hsin-Ying Hsieh",Taiwan,"August 15, 2019",2019,1,"Based on the speculative short stories of MirrorFiction, this sci-fi thriller anthology plunges headlong into our deepest desires – and darkest fears.",International TV
4427,s7119,TV Show,To the Lake,Pavel Kostomarov,"Viktoriya Isakova, Kirill Käro, Aleksandr Robak, Natalya Zemtsova, Maryana Spivak, Yuri Kuznetsov, Eldar Kalimulin, Viktoriya Agalakova, Alexander Yatsenko, Saveliy Kudryashov",Russia,"October 7, 2020",2020,1,"Facing the end of civilization when a terrifying plague strikes, a group risks their lives, loves — and humanity — in a brutal struggle to survive.",International TV
4429,s7121,TV Show,Toast of London,Michael Cumming,"Matt Berry, Robert Bathurst, Doon Mackichan, Shazad Latif, Tim Downie, Harry Peacock, Tracy Ann Oberman",United Kingdom,"September 1, 2017",2015,3,"After a divorce and fatal career move, a classically trained British stage actor navigates single life with his odd roommate and takes on horrid jobs.",British TV
4466,s7178,TV Show,Trailer Park Boys: The Animated Series,"Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Cory Bowles, Jacob Rolfe, Tyrone Parsons, Sarah Dunsworth, Jeanna Harrison, Marguerite McNeil",Canada,"May 22, 2020",2020,2,"Nova Scotia’s favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.",TV Comedies
4536,s7314,TV Show,Unabomber - In His Own Words,Mick Grogan,Ted Kaczynski,Canada,"February 22, 2020",2018,1,"The CIA attempts to turn Ted Kaczynski, aka the Unabomber, into a super agent — a plan that backfires. Based on real events.",Crime TV
4580,s7386,TV Show,Valeria,Inma Torrente,"Diana Gómez, Silma López, Paula Malia, Teresa Riott, Maxi Iglesias, Ibrahim Al Shami",Spain,"May 8, 2020",2020,1,"A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent.",International TV
4588,s7401,TV Show,Velvet,Carlos Sedes,"Paula Echevarría, Miguel Ángel Silvestre, Aitana Sánchez-Gijón, Manuela Velasco, Manuela Vellés, Marta Hazas, Javier Rey, Maxi Iglesias, Cecilia Freire, Adrián Lastra, Miriam Giovanelli, Natalia Millán, José Sacristán, Ingrid Rubio, Peter Vives, Llorenç González, Ángela Molina, Pastora Vega",Spain,"March 4, 2020",2016,4,"In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family.",International TV
4645,s7493,TV Show,Watership Down,Noam Murro,"James McAvoy, Nicholas Hoult, John Boyega, Ben Kingsley, Tom Wilkinson, Gemma Arterton, Peter Capaldi, Olivia Colman, Mackenzie Crook, Anne-Marie Duff, Taron Egerton, James Faulkner, Freddie Fox, Lee Ingleby, Miles Jupp, Daniel Kaluuya, Rory Kinnear, Craig Parkinson, Rosamund Pike, Daniel Rigby, Jason Watkins",United Kingdom,"December 23, 2018",2018,1,A warren of rabbits battles many threats on their daring journey to find a new home in this adaptation of the classic novel by Richard Adams.,British TV
4740,s7667,TV Show,World of Winx,Iginio Straffi,"Haven Paschall, Alysha Deslorieux, Jessica Paquet, Eileen Stevens, Kate Bristol, Saskia Maarleveld, Brittany Pressley, Billy Bob Thompson, Marc Thompson, Suzy Myers, Jason Griffith, Samara Naeymi, Wayne Grayson, Alyson Leigh Rosenfeld, Abe Goldfarb, Lisa Flanagan",Italy,"June 16, 2017",2017,2,"The reality show ""WOW!"" engages the Winx in their mission, starting an undercover, worldly journey in order to make talented kids' dreams come true.",Kids
4771,s7722,TV Show,You,Lee Toland Krieger,"Penn Badgley, Elizabeth Lail, Shay Mitchell, John Stamos, Luca Padovan, Zach Cherry",United States,"December 26, 2019",2019,2,"Obsessed with an aspiring writer, a charming bookstore manager goes to extreme measures to insert himself into her life.",Crime TV
